timestamp,sender_ip,sender_mac,target_ip,target_mac,operation,label
2026-08-20 14:52:14,172.25.216.1,e6:db:ae:f4:fe:62,172.25.221.194,00:00:00:00:00:00,request,0
2026-08-20 14:52:25,172.25.224.1,e6:db:ae:f4:fe:62,172.25.229.88,00:00:00:00:00:00,request,0
2026-08-20 14:52:07,172.25.232.1,e6:db:ae:f4:fe:62,172.25.232.143,00:00:00:00:00:00,request,0
2026-08-20 14:52:16,172.25.216.1,e6:db:ae:f4:fe:62,172.25.216.98,00:00:00:00:00:00,request,0
2026-08-20 14:52:18,172.25.213.166,58:f6:10:49:ca:fd,172.25.211.148,00:00:00:00:00:00,reply,1
2026-08-20 14:52:11,172.25.216.1,e6:db:ae:f4:fe:62,172.25.222.32,00:00:00:00:00:00,request,0
2026-08-20 14:52:10,172.25.188.79,44:fe:ef:99:a9:59,172.25.160.1,00:00:00:00:00:00,request,0
2026-08-20 14:52:06,172.25.216.1,e6:db:ae:f4:fe:62,172.25.220.22,00:00:00:00:00:00,request,0
2026-08-20 14:52:13,172.25.224.1,e6:db:ae:f4:fe:62,172.25.231.168,00:00:00:00:00:00,request,0
2026-08-20 14:52:07,172.25.240.1,e6:db:ae:f4:fe:62,172.25.247.91,00:00:00:00:00:00,request,0
2026-08-20 14:52:08,0.0.0.0,9b:2b:6e:12:29:d1,172.25.229.77,00:00:00:00:00:00,reply,1
2026-08-20 14:52:19,172.25.230.22,dc:a2:66:1b:32:4b,172.25.226.6,00:00:00:00:00:00,request,0
2026-08-20 14:52:10,172.25.208.1,e6:db:ae:f4:fe:62,172.25.215.67,00:00:00:00:00:00,request,0
2026-08-20 14:52:08,172.25.224.108,40:58:46:0a:f6:d7,172.25.224.108,ff:ff:ff:ff:ff:ff,reply,0
2026-08-20 14:52:23,172.25.216.1,e6:db:ae:f4:fe:62,172.25.223.38,00:00:00:00:00:00,request,0
2026-08-20 14:52:19,172.25.208.1,e6:db:ae:f4:fe:62,172.25.210.57,00:00:00:00:00:00,request,0
2026-08-20 14:52:16,172.25.224.1,e6:db:ae:f4:fe:62,172.25.225.202,00:00:00:00:00:00,request,0
2026-08-20 14:52:09,172.25.213.130,ee:b6:67:de:09:c9,172.25.213.130,ff:ff:ff:ff:ff:ff,reply,1
2026-08-20 14:52:07,172.25.224.1,e6:db:ae:f4:fe:62,172.25.224.216,00:00:00:00:00:00,request,0
2026-08-20 14:52:06,172.25.232.1,e6:db:ae:f4:fe:62,172.25.239.47,00:00:00:00:00:00,request,0
2026-08-20 14:52:09,172.25.248.1,e6:db:ae:f4:fe:62,172.25.253.123,00:00:00:00:00:00,request,0
2026-08-20 14:52:09,172.25.188.144,d4:1d:a6:89:33:26,172.25.160.1,00:00:00:00:00:00,reply,1
2026-08-20 14:52:24,172.25.224.1,e6:db:ae:f4:fe:62,172.25.228.97,00:00:00:00:00:00,request,0
