timestamp,sender_ip,sender_mac,target_ip,target_mac,operation,label,record_type
2026-08-20 14:52:18,172.25.232.1,8e:06:51:7b:77:80,172.25.233.207,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 20:56:53,172.25.224.1,92:2d:7b:54:a0:8d,172.25.229.158,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 20:56:35,172.25.240.1,00:9c:c0:96:92:ff,172.25.247.28,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:18,172.25.189.129,18:02:ae:11:25:83,172.25.160.1,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:49:57,172.25.225.174,f8:c4:fa:f6:3b:cb,172.25.226.199,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 21:18:30,172.25.228.201,aa:db:9d:94:50:b2,172.25.230.51,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:12:59,172.25.224.1,10:5f:ad:5a:30:9d,172.25.225.198,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:10:44,172.25.227.112,d0:49:7c:45:4a:29,172.25.226.208,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:11,172.25.240.1,f4:30:8b:a4:d0:31,172.25.246.115,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:28,172.25.241.153,e4:aa:e4:1d:05:8e,172.25.240.1,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:12:50,172.25.226.96,ae:d8:3a:fc:60:69,169.254.169.254,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:11:00,172.25.224.1,b6:84:ef:b9:aa:39,172.25.230.138,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:12:52,172.25.224.1,da:09:83:d7:37:9c,172.25.230.74,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:25,172.25.209.66,18:47:3d:42:c1:a1,172.25.208.1,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:07,172.25.229.64,54:0e:2d:13:c9:b9,172.25.228.99,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:16,172.25.216.1,bc:64:d9:3a:a8:dd,172.25.221.233,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:11:28,172.25.227.183,42:97:09:e8:e1:b2,172.25.224.1,ff:ff:ff:ff:ff:ff,reply,1,simulated_attack
2026-08-21 19:13:53,172.25.224.1,48:68:4a:71:0c:41,172.25.228.175,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:50:02,172.25.241.178,38:8d:3d:51:2d:16,172.25.241.178,ff:ff:ff:ff:ff:ff,reply,1,simulated_attack
2026-08-20 14:52:26,172.25.240.1,94:bb:43:e1:97:ec,172.25.246.105,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:06,172.25.232.1,e0:c2:64:e4:c3:b6,172.25.237.155,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:07,172.25.248.192,d2:fa:b5:97:79:2a,172.25.251.136,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-20 14:52:20,172.25.242.161,20:34:fb:6c:df:65,172.25.243.205,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:13:07,172.25.224.210,82:df:fa:bc:f8:a3,172.25.224.210,ff:ff:ff:ff:ff:ff,reply,1,simulated_attack
2026-08-21 20:57:21,172.25.224.1,3a:50:ad:11:95:b1,172.25.228.181,00:00:00:00:00:00,reply,1,simulated_attack
2026-08-21 19:10:24,172.25.224.1,7c:f0:e5:e9:97:0b,172.25.226.69,00:00:00:00:00:00,reply,1,simulated_attack
