timestamp,sender_ip,sender_mac,target_ip,target_mac,operation
2026-08-20 14:52:06,172.25.208.1,e6:db:ae:f4:fe:62,172.25.215.134,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.236.224,8c:df:2c:b6:c2:c5,172.25.236.224,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:06,172.25.167.30,fa:97:86:b2:50:e2,172.25.160.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.248.1,e6:db:ae:f4:fe:62,172.25.254.176,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.232.1,e6:db:ae:f4:fe:62,172.25.238.128,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.216.1,e6:db:ae:f4:fe:62,172.25.217.226,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.240.1,e6:db:ae:f4:fe:62,172.25.246.201,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.216.1,e6:db:ae:f4:fe:62,172.25.222.75,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.208.1,e6:db:ae:f4:fe:62,172.25.210.143,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.216.1,e6:db:ae:f4:fe:62,172.25.218.199,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.224.1,e6:db:ae:f4:fe:62,172.25.230.54,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.224.1,e6:db:ae:f4:fe:62,172.25.227.92,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.49.111,ea:ea:9d:b9:7d:6f,172.25.49.111,ff:ff:ff:ff:ff:ff,request
2026-08-20 14:52:06,172.25.253.170,2a:7d:bc:e2:ec:07,172.25.248.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.235.118,a8:ef:5f:06:c5:9f,172.25.235.118,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:06,172.25.233.71,54:8d:5a:a7:c1:e1,172.25.236.202,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.240.1,e6:db:ae:f4:fe:62,172.25.247.111,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.235.118,a8:ef:5f:06:c5:9f,172.25.232.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.232.184,a0:80:69:e8:d1:d6,172.25.237.166,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.225.226,50:5b:c2:59:05:2b,172.25.230.27,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.208.146,82:18:30:5c:01:be,172.25.208.146,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:06,0.0.0.0,28:d0:43:3b:c3:64,172.25.252.252,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.209.15,e0:c2:64:e4:c3:b6,172.25.208.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.254.122,e8:65:38:25:57:91,172.25.255.91,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.248.192,dc:97:ba:eb:92:68,172.25.251.136,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.221.110,ac:c0:48:a0:4a:39,172.25.216.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.236.224,8c:df:2c:b6:c2:c5,172.25.236.224,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:06,172.25.210.39,a0:d3:65:e7:d6:0f,172.25.208.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.217.241,3c:21:9c:1f:c1:24,172.25.218.170,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.210.39,a0:d3:65:e7:d6:0f,172.25.208.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.236.224,8c:df:2c:b6:c2:c5,172.25.232.1,ff:ff:ff:ff:ff:ff,request
2026-08-20 14:52:06,172.25.248.1,e6:db:ae:f4:fe:62,172.25.251.123,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.187.81,d4:5b:51:d0:24:14,172.25.160.1,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.232.1,e6:db:ae:f4:fe:62,172.25.232.104,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.208.1,e6:db:ae:f4:fe:62,172.25.214.91,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.208.1,e6:db:ae:f4:fe:62,172.25.210.57,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.248.1,e6:db:ae:f4:fe:62,172.25.248.223,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.224.1,e6:db:ae:f4:fe:62,172.25.228.243,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.216.247,74:33:57:97:c9:75,172.25.216.1,ff:ff:ff:ff:ff:ff,request
2026-08-20 14:52:06,172.25.237.166,e4:57:68:1b:9d:4b,172.25.232.184,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.232.1,e6:db:ae:f4:fe:62,172.25.232.143,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.235.65,5c:ba:ef:60:92:1f,172.25.235.65,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.211.91,40:fa:fe:d1:af:c7,172.25.211.91,ff:ff:ff:ff:ff:ff,reply
2026-08-20 14:52:06,172.25.232.1,e6:db:ae:f4:fe:62,172.25.237.116,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.248.1,e6:db:ae:f4:fe:62,172.25.254.9,00:00:00:00:00:00,request
2026-08-20 14:52:06,172.25.210.39,a0:d3:65:e7:d6:0f,172.25.208.1,00:00:00:00:00:00,request
